actorID,actorName,ranking
321,Steve Gonzales,39
322,Taylor Nichols,25
323,Thom Barry,40
324,Tom Dahlgren,13
325,Wendie Malick,21
326,Alan Walls,74
327,Alton Ruff,40
328,Amy Yasbeck,4
329,Amy Yesbeck,75
330,Anne McVey,62
331,Audrey Baranishyn,53
332,Avery Schreiber,24
333,Barbaree Earl,57
334,Ben Livingston,49
335,Blane Savage,39
336,Carol Arthur,7
337,Casey King,18
338,Cherie Franklin,36
339,Chuck McCann,21
340,Cindy Marshall-Day,60
341,Clive Revill,23
342,Darla Haun,59
343,David DeLuise,11
344,David Savoy,50
345,Delores Nemiro,64
346,Dennon Rawles,34
347,Derek Mark Lochran,20
348,Elaine Ballace,52
349,Ezio Greggio,31
350,Gregg Binkley,35
351,Grinnell Morris,63
352,Harvey Korman,6
353,Henry Kaiser,15
354,Ira Miller,33
355,Jeffrey Broadhurst,54
356,Jennifer Crystal,44
357,Jim Peace,67
358,Jody Peterson,22
359,John Frayer,58
360,Johnny Cocktails,10
361,Jude Van Wormer,73
362,Karen Roe,69
363,Kathleen Kane,16
364,Kevin Scott Crawford,56
365,Leslie Nielsen,1
366,Leslie S. Sachs,43
367,Lisa Cordray,46
368,Loraine Shields,45
369,Lysette Anthony,5
370,Manette LaChance,37
371,Mark Blankfield,8
372,Matthew Porretta,41
373,Maura Nielsen,65
374,Megan Cavanagh,9
375,Megan Cavanaugh,42
376,Mel Brooks,28
377,Michael Connors,29
378,Nick Rempel,68
379,Peter MacNicol,2
380,Phillip Connery,55
381,Ric Coy,48
382,Richard Alan Stewart,72
383,Robin Shepard,25
384,Rudy De Luca,30
385,Sandra Rovetta,70
386,Sandy Johnson,14
387,Sharon Savoy,51
388,Shirley Kirkes,32
389,Sonje Fortag,47
390,Stan Mazin,38
391,Stephen Wolfe Smith,26
392,Steven Weber,3
393,Ted Sprague,71
394,Thea Nielsen,66
395,Tommy Koenig,19
396,Tony Griffin,13
397,Tricia McFarlin-Mattson,61
398,Vince Grant,12
399,Zale Kessler,17
400,William Roberts,21
401,Bill Bailey,9
402,Bob Hoskins,2
403,Brendan Fraser,12
404,Bridget Fonda,4
405,Christine Cavanaugh,20
406,Danny Mann,18
407,Donald Sinden,15
408,Garick Hagon,13
409,Jennifer Blanc,17
410,Jim Carter,10
411,Jim Cummings,5
412,Juliette Brewer,19
413,Kevin Bacon,1
414,Lola Bates-Campbell,3
415,Michael J. Shannon,14
416,Miriam Margolyes,7
417,Phil Collins,6
418,Robbie Rist,16
419,Sandra Dickinson,11
420,Kevin Dunn,19
421,Annabeth Gish,22
422,Anthony Hopkins,1
423,Ling Bai,59
424,Bill Bolender,10
425,Boris Sichkin,44
426,Brian Bedford,8
427,Bridgette Wilson,53
428,Charles Haugk,26
429,Chuck Preiffer,63
430,Clayton Townsend,57
431,Corey Carrier,13
432,Dan Hedaya,27
433,David Barry Gray,25
434,Donna Dixon,18
435,Drew Snyder,45
436,Ed Harris,4
437,Edward Herrmann,28
438,E.G. Marshall,6
439,Fima Noveck,62
440,Fyvush Finkel,21
441,George Plimpton,39
442,Harry Murphy,61
443,Howard Platt,38
444,Jack Wallace,51
445,James Karen,30
446,James Pickens Jr.,35
447,James Woods,58
448,Joan Allen,2
449,Joanna Going,23
450,John Bedford Lloyd,31
451,John C. McGinley,33
452,John Cunningham,16
453,John Diehl,17
454,John Stockwell,55
455,Jon Tenney,49
456,J.T. Walsh,52
457,Julie Araskog,7
458,Julie Condra,15
459,Larry Hagman,12
460,Lenny Vullo,64
461,Madeline Kahn,29
462,Marilyn Rockafellow,41
463,Marley Shelton,43
464,Mary Steenburgen,47
465,Michael Chiklis,14
466,Michael Herz & Llyod Kauf...,60
467,Oliver Stone,56
468,O'Neal Compton,66
469,Paul Sorvino,46
470,Power Booth,68
471,Ric Young,65
472,Richard Fancy,20
473,Robert Beltran,54
474,Robert Marshall,32
475,Ronald Von Klaussen,50
476,Saul Rubinek,42
477,Sean Stone,48
478,Tom Bower,11
479,Tony Goldwyn,24
480,Tony Lo Bianco,9
481,Tony Plana,37
482,Victor Rivers,40
483,Wilson Cruz,67
484,Carl Chase,10
485,Chris Johnston,22
486,Christopher Adamson,7
487,Christopher Kennedy Maste...,14
488,Christopher Masterson,24
489,Dickey Beer,20
490,Frank Langella,3
491,Geena Davis,1
492,George Murcell,15
493,Harris Yulin,19
494,Jimmie F. Skaggs,17
495,Ken Bones,8
496,Mary Peach,16
497,Matthew Modine,2
498,Maury Chaykin,4
499,Patrick Malahide,5
500,Paul Dillon,11
501,Peter Geeves,12
502,Rex Linn,13
503,Roger Booth,9
504,Rupert Vansittart,21
505,Stan Shaw,6
506,Tam White,18
507,Thomas Lockyer,23
508,Joe Bob Briggs,8
509,Alan King,6
510,Andy Jarrell,22
511,Anthony Russell,37
512,Audrey Meadows,26
513,Bill Allison,52
514,Bret McCormick,46
515,Brian Reddy,35
516,Cameron Milzer,29
517,Carl Ciarfalio,16
518,Catherine Scorsese,38
519,Clem Caserta,14
520,Craig Vincent,56
521,Daniel P. Conte,18
522,David Rose,60
523,David Varriale,62
524,Dean Casper,15
525,Dick Smothers,9
526,Eric Randall,34
527,Erika vonTagen,57
528,Frank Adonis,10
529,Frank Vincent,43
530,Frankie Avalon,12
531,Fred Smith,49
532,Jack Orend,31
533,Jayne Meadows,27
534,Jed Mills,28
535,Jerry Vale,42
536,Joe La Due,24
537,Joe Pesci,3
538,Joey de Pinto,20
539,John Manca,45
540,Joseph Bono,13
541,Joseph P. Reidy,48
542,Linda Perri,32
543,L.Q. Jones,44
544,Max Raven,47
545,Melissa Prophet,33
546,Mitch Kolpan,51
547,Oscar Goodman,54
548,Pasquale Cajano,53
549,Peter Conti,58
550,Philip Suriano,41
551,Richard Riehle,36
552,Richard Wagner,61
553,Ronald Maccone,25
554,Roy Conrad,17
555,Sasha Semenoff,39
556,Sharon Stone,2
557,Sly Smith,40
558,Sonny D'Angelo,19
559,Steve Allen,11
560,Steve Vignari,50
561,Stuart Nisbet,30
562,Toru Nagai,59
563,Tyde Kierney,23
564,Vinny Vella Sr.,55
565,Alan Rickman,2
566,Alexander John,16
567,Elizabeth Spriggs,12
568,Emile Francois,17
569,Emilie François,19
570,Emma Thompson,1
571,Gemma Jones,10
572,Greg Wise,6
573,Harriet Walter,7
574,Hugh Grant,4
575,Hugh Laurie,11
576,Imelda Staunton,13
577,Imogen Stubbs,14
578,James Fleet,5
579,Kate Winslet,3
580,Oliver Ford Davies,8
581,Richard Lumsden,18
582,Robert Hardy,9
583,Tom Wilkinson,15
584,Marc Lawrence I,17
585,Alicia Witt,15
586,Amanda De Cadenet,19
587,Antonio Banderas,4
588,Bruce Willis,6
589,David Proval,10
590,Ione Skye,11
591,Jennifer Beals,3
592,Kathy Griffin,9
593,Lawrence Bender,16
594,Lili Taylor,12
595,Madonna,18
596,Marisa Tomei,13
597,Paul Calderon,7
598,Paul Skemp,20
599,Quentin Tarantino,5
600,Salma Hayek,21
601,Sammi Davis,8
602,Tamlyn Tomita,14
603,Tim Roth,1
604,Valeria Golino,2
605,Adewale Akinnuoye-Agbaje,15
606,"Arsenio ""Sonny"" Trinidad",12
607,Bob Gunton,5
608,Bruce Spence,10
609,Danny D. Daniels,13
610,Dev Kennedy,8
611,Ian McNeice,2
612,Jim Carrey,1
613,Maynard Eziashi,4
614,Michael Reid Mackay,9
615,Patti Tippo,11
616,Simon Callow,3
617,Sophie Okonedo,6
618,Tommy Davidson,7
619,Aida Turturro,19
620,Alvaleta Guess,34
621,Angel Caban,7
622,Bill Nunn,13
623,Chris Cooper,5
624,Christopher Anthony Young,27
625,David Tawil,35
626,Greg McKinney,12
627,Jack O'Connell,22
628,Jack A. O'Connell,33
629,Jennifer Lopez,3
630,Jeremy Roberts,16
631,Joe Grifasi,6
632,John Cenatiempo,8
633,John Norman Thomas,30
634,Jose Soto,26
635,Jose Zuniga,29
636,Michael Artura,31
637,Moss Porter,24
638,Nelson Vasquez,20
639,Oni Faida Lampley,10
640,Richard Grove,9
641,Robert Blake,4
642,Ron Ryan,17
643,Saul Stein,18
644,Scott Sowers,32
645,Sharon Schaffer,25
646,Skipp Sudduth,36
647,Steve Randazzo,15
648,Thomas G. Waites,21
649,Vincent Laresca,11
650,Vincent Pastore,14
651,Vincent Patrick,23
652,Woody Harrelson,2
653,Alex Rocco,24
654,Alfred Dennis,13
655,Barry Sonnenfeld,30
656,Bernard Hocke,18
657,Bette Midler,9
658,Bobby Slayton,34
659,Carlease Burke,11
660,Danny DeVito,4
661,David Groh,16
662,Delroy Lindo,6
663,Dennis Farina,5
664,Gene Hackman,2
665,Greg Goossen,15
666,Harvey Keitel,20
667,Jack Conley,32
668,Jacob Vargas,28
669,James Gandolfini,7
670,Jeffrey J. Stephan,27
671,John Cothran Jr.,12
672,John Travolta,1
673,Jon Gries,33
674,Linda Hart,17
675,Miguel Sandoval,25
676,Patrick Breen,10
677,Penny Marshall,29
678,Ralph Manza,21
679,Rebeca Arthur,31
680,Rene Russo,3
681,Renee Props,23
682,Ron Karabatsos,19
683,Vito Scotti,26
684,Zach Phifer,22
685,Anthony Moore,26
686,Arlon G. Greene,44
687,Bert Kinyon,47
688,Bill Bonham,7
689,Bob Greene,29
690,Brian Russell,18
691,Charles Branklyn,20
692,Christopher Beale,22
693,Corie Henninger,25
694,Damon Lawner,49
695,Danny Kovacs,12
696,David Ferguson,30
697,David Michael Silverman,58
698,Dennis Richmond,54
699,Dermot Mulroney,3
700,Diane Amos,28
701,Donald West,19
702,Doug Morrison,51
703,Edith Bryson,39
704,Eleva Singleton,59
705,Floyd Gale Holland,46
706,Gena Bingham,38
707,Hansford Prince,27
708,Harry Connick Jr.,6
709,Holly Hunter,2
710,James Cunningham,9
711,Jay Jacobus,23
712,J.E. Freeman,10
713,Jeni Chua,40
714,John Charles Morris,50
715,John Rothman,13
716,Johnetta Shearer,57
717,Katherine Fitzhugh,43
718,Kathleen Stefano,35
719,Keith Phillips,53
720,Kelly De Martino,36
721,Kelvin Han Yee,16
722,Kenny Kwong,32
723,Lee Kopp,48
724,Nick Scoggin,56
725,Rebecca Jane Klingler,34
726,Richard Conti,41
727,Rob Nilsson,17
728,Robert Benscoter,37
729,Ron Kaell,24
730,Russ Christoff,31
731,Scott W. de Venney,21
732,Shannon O'Hurley,33
733,Sigourney Weaver,1
734,S.J. Spinali,60
735,Stephanie Ann Smith,14
736,Stuart W. Yee,61
737,Tahmus Rounds,55
738,Terry Brown,8
739,Thomas J. Fieweger,42
740,Tony Haney,11
741,Victor Talmadge,15
742,Vincenetta Gunn,45
743,Will Patton,5
744,William McNamara,4
745,William Oates,52
746,Rain,1
747,Adriana Altaras,16
748,Anna Sawai,22
749,Ben Miles,3
750,David Leitch,29
751,Eleonore Weisgerber,19
752,Guido Foehrweisser,6
753,Hans Hohlbein,26
754,Ill-Young Kim,12
755,Jens Neuhaus,32
756,Johannes Ahn,35
757,Jonathan Chan-Pensley,11
758,Joon Lee,20
759,Kai Fung Rieck,21
760,Kylie Goldstein,36
761,Kylie Liya Goldstein,17
762,Linh-Dan Pham,14
763,Matthias Schendel,34
764,Mina Ghousi,25
765,Naomie Harris,2
766,Nhi Ngoc Nguyen-Hermann,27
767,Patrick Pinheiro,33
768,Randall Duk Kim,9
769,Richard van Weyden,24
770,Rick Yune,4
771,Shô Kosugi,5
772,Steffen Groth,31
773,Stephen Marcus,7
774,Sung Kang,10
775,Thorston Manderlay,23
776,Tim Williams,28
777,Vladimir Tarasjanz,8
778,Wolfgang Stegemann,30
779,Yoon Sungwoong,18
780,Yu Fang,15
781,Yuki Iwamoto,13
782,Alex Allen Morris,14
783,Barry Berfield,16
784,Bill Grant-Minchen,21
785,Bonnie Gallup,20
786,Bradford Tatum,6
787,Brady Coleman,13
788,Brandon Smith (I),5
789,Chad Cox,17
790,Dannete McMann,24
791,Dee Macaluso,22
792,Esteban Powell,12
793,James Houston,15
794,Jeff Goldblum,4
795,Joe Marchman,23
796,Lance Henriksen,3
797,Meason Wiley,26
798,Missy Crider,10
799,Paula Engel,18
800,Philip Maurice Hayes,11
801,Ray Wise,9
802,Reed Frerichs,19
803,Sean Patrick Flanery,2
804,Susan Tyrrell,7
805,Tom Tarantini,25
806,Woody Watson,8
807,David Brisbin,27
808,Richard Lewis,4
809,Albert Henderson,12
810,Anne Lange,16
811,Bill Thompson,37
812,Bob Rafelson,31
813,Carey Lowell,19
814,Danny Huston,29
815,David Kriegel,15
816,Ed Lauter,17
817,Elisabeth Shue,2
818,French Stewart,35
819,Gordon Michaels,34
820,Graham Beckel,6
821,Julian Lennon,18
822,Julian Sands,3
823,Kim Adams,7
824,Lou Rawls,23
825,Lucinda Jenney,13
826,Marc Coppola,33
827,Mariska Hargitay,11
828,Michael A. Goorjian,10
829,Nicolas Cage,1
830,Paul Quinn,22
831,Sergio Premoli,21
832,Shawnee Smith,24
833,Stuart Regen,32
834,Susan Barnes,8
835,Thomas Kopache,14
836,Tracy Thorne,25
837,Vincent Ward,36
838,Waldemar Kalinowski,30
839,André Oumansky,12
840,Anna Patrick,6
841,Gabriele Ferzetti,8
842,Indra Ove,13
843,Irène Jacob,2
844,John Savident,10
845,Kenneth Branagh,3
846,Laurence Fishburne,1
847,Michael Maloney,5
848,Michael Sheen,14
849,Nathaniel Parker,4
850,Nicholas Farrell,7
851,Oliver Parker,15
852,Philip Locke,9
853,Pierre Vaneck,11
854,Alice Tew,32
855,Ashleigh Aston Moore,4
856,Beverly Shelton,29
857,Bradley Coryell,20
858,Brandon Kleyla,19
859,Carl Espy,23
860,Christina Ricci,1
861,Cloris Leachman,12
862,Demi Moore,5
863,Devon Sawa,18
864,Gaby Hoffmann,3
865,Geoff McKnight,26
866,James Paul Cleckler,21
867,Jamison B. Dowd,22
868,Janeane Garofalo,17
869,Joey Stinson,30
870,Justin Humphrey,25
871,Kellen Crosby,16
872,Lolita Davidovich,8
873,Melanie Griffith,10
874,Ric Reitz,13
875,Rita Wilson,15
876,Rosie O'Donnell,6
877,Thora Birch,2
878,Travis Robertson,28
879,T.S. Morgan,27
880,Tucker Stone,31
881,Walter Sparrow,14
882,Willa Glen,24
883,Amanda Root,1
884,Ciarán Hinds,2
885,Corin Redgrave,10
886,Darlene Johnson,16
887,David Collings,4
888,Felicity Dean,6
889,Fiona Shaw,11
890,Jane Wood,15
891,John Woodvine,14
892,Judy Cornwell,5
893,Ken Shorter,12
894,Lonnie James,8
895,Niall Refoy,18
896,Phoebe Nicholls,9
897,Roger Hammond,7
898,Samuel West,19
899,Simon Russell Beale,17
900,Sophie Thompson,13
901,Susan Fleetwood,3
902,Briac Barthelemy,18
903,Cris Huerta,16
904,Daniel Emilfork,2
905,Dominique Pinon,4
906,Francois Hadji-Lazaro,17
907,Genevieve Brunet,6
908,Ham-Chau Luong,11
909,Hong-Mai Thomas,20
910,Jean-Claude Dreyfus,5
911,Jean-Louis Trintignant,14
912,Joseph Lucien,19
913,Judith Vittet,3
914,Lorella Cravotta,7
915,Mapi Galán,8
916,Marc Caro,15
917,Mireille Mosse,21
918,Nane Germon,9
919,Ron Perlman,1
920,Rufus,13
921,Serge Merlin,12
922,Ticky Holgado,10
923,Fu Biao,9
924,Li Gong,1
925,Jiang Baoying,6
926,Baotian Li,2
927,Li Xuejian,3
928,Liu Jiang,10
929,Shu Chen,7
930,Sun Chun,4
931,Wang Xiaoxiao,5
932,Xuejian Li,8
933,Yang Qianquan,11
934,Wade Dominguez,21
935,Al Israel,10
936,Beatrice Winde,17
937,Bernie Pock,15
938,Bruklin Harris,5
939,Courtney B. Vance,3
940,Ebony Jerido,11
941,George Dzundza,2
942,Irene Olga Lopez,12
943,Ivan Sergei,20
944,John Neville,14
945,Karina Arroyave,18
946,Lorraine Toussaint,16
947,Michelle Pfeiffer,1
948,Paula Garcés,8
949,Renoly Santiago,6
950,Richard Grant,9
951,Robin Bartlett,4
952,Roman Cisneros,19
953,Sarah Marshall,13
954,Skye Bassett,7
955,Bhiravi Vaidhy,1
956,Dilip Satgare,2
957,Haresh Mehta,3
958,Harish Panchal,4
959,Kamlesh Shah,5
960,Kishore Sachadev,6
961,Nilesh Joshi,7
962,Purvi Vyas,8
963,Rajul Diwan,9
964,Ram Milan,10
965,Vikram Shah,11
966,Freddy Andreiuci,1
967,Balinder Johal,1
968,Ron Sauvé,1
969,Craig Sheffer,1
970,Elizabeth McGovern,1
971,Ken Pogue,1
972,Molly Parker,1
973,Tom Hulce,1
974,John Doyle,11
975,Charles Bartlett,34
976,David Webb,32
977,Doris Grau,14
978,Helen O'Connor,19
979,Hugo Weaving,6
980,Jacqueline Brennan,27
981,James Cromwell,1
982,Jane Alden,8
983,John Erwin,24
984,Julie Forsyth,33
985,Justin Monjo,31
986,Kerry Walker,22
987,Kimberly Bailey,26
988,Maeve Germaine,28
989,Magda Szubanski,2
990,Marshall Napier,18
991,Matthew Long,29
992,Michael Edward-Stevens,7
993,Michelle Davison,25
994,Miriam Flynn,12
995,Neil Ross,23
996,Paige Pollack,20
997,Patrika Darbo,10
998,Paul Goddard,13
999,Rosanna Huffman,15
1000,Roscoe Lee Browne,9
1001,Russi Taylor,35
1002,Russie Taylor,21
1003,Tina Lifford,17
1004,Tony Hughes,16
1005,Alex Kingston,9
1006,Christopher Birch,13
1007,David Ryall,12
1008,Janet McTeer,10
1009,Jeremy Northam,14
1010,Jonathan Pryce,2
1011,Neville Phillips,11
1012,Penelope Wilton,6
1013,Peter Blythe,7
1014,Richard Clifford,8
1015,Rufus Sewell,5
1016,Steven Waddington,3
1017,Adam Nelson,22
1018,Adele Robbins,27
1019,Alec Gifford,15
1020,Amy Long,17
1021,Barton Heyman,16
1022,Celia Weston,6
1023,Clancy Brown,11
1024,Cortez Nance Jr.,21
1025,Jack Black,28
1026,Kevin Cooney,13
1027,Larry Pine,23
1028,Lenore Banks,8
1029,Lois Smith,25
1030,Margo Martindale,19
1031,Michael Cullen,14
1032,Mike Longman,18
1033,Nesbitt Blaisdell,9
1034,Pamela Garmon,29
1035,Peter Sarsgaard,31
1036,Ray Aranha,7
1037,Robert Prosky,3
1038,Roberta Maxwell,20
1039,Sally Ann Roberts,24
1040,Scott Wilson,26
1041,Sean Penn,2
1042,Steve Boles,10
1043,Steve Carlisle,12
1044,Susan Sarandon,1
1045,Abby Lewis,10
1046,Ali Hoffman,3
1047,Ave Hoffman,6
1048,Donald Trump,9
1049,John McDonough,2
1050,Matt Malloy,8
1051,Pat Flynn,12
1052,Peter Boyden,5
1053,Peter Reznick,1
1054,Peter Reznik,11
1055,Philip Levy,7
1056,Victor Steinbach,4
1057,Ashley Olsen,4
1058,Desmond Robertson,12
1059,Ellen-Ray Hennessey,9
1060,Ernie Grunwald,11
1061,Gerry Parkes,8
1062,Jane Sibbett,6
1063,Kirstie Alley,1
1064,Lawrence Z. Dane,7
1065,Mary Kate,13
1066,Mary-Kate Olsen,3
1067,Michelle Grisom,10
1068,Philip Bosco,5
1069,Steve Guttenberg,2
1070,Dorka Gryllus,1
1071,Lajos Kovács,2
1072,Richard Harris,2
1073,Charles Dutton,13
1074,Charles S. Dutton,5
1075,Dambisa Kente,11
1076,Dolly Rathebe,14
1077,Eric Miyeni,6
1078,Greg Latter,10
1079,Ian Roberts,8
1080,Ian Robers,12
1081,James Earl Jones,1
1082,Jsepo Gugusha,7
1083,Leleti Khumalo,4
1084,Leleti Kumalo,15
1085,Robert Whitehead,9
1086,Vusi Kunene,3
1087,John Wood,21
1088,Adrian Dunbar,20
1089,Andy Rashleigh,17
1090,Bill Paterson,15
1091,Bruce Purchase,16
1092,Christopher Bowen,7
1093,Dennis Lili,13
1094,Dominic West,22
1095,Donald Sumpter,19
1096,Edward Jewesbury,12
