rottenTomatoesID,movieTitle,rtAllCriticsRating,rtAllCriticsNumReviews,rtTopCriticsRating,rtTopCriticsNumReviews,rtAudienceRating,rtAudienceNumRatings
167,kids,5,52,6.5,7,3.5,11282
168,living_in_oblivion,7.4,24,0,2,3.8,1878
169,lord_of_illusions,5.7,19,0,2,3,2344
170,love-and-human-remains,6.5,11,0,4,0,0
171,bad_love,0,0,0,0,0,0
172,mallrats,5.4,40,5,9,3.6,40221
173,mighty_morphin_power_rangers_the_movie,4.6,19,5.5,8,2.7,5904
174,moonlight_and_valentino,4.6,13,0,3,3.1,978
175,mute_witness,6.9,19,7.3,6,3.2,644
176,the-case-of-the-white-chapel-vampire-the-royal-scandal2001,0,0,0,0,0,0
177,net,5.1,33,6.9,5,2.8,10933
178,nine_months,4.3,24,5,5,2.7,8930
179,1066050-party_girl,6.3,31,6,13,3.5,1243
180,1065632-prophecy,5.2,19,0,1,3.3,5062
181,reckless_moment,0,3,0,0,0,0
182,failsafe,7.6,13,0,0,0,0
183,1066120-scarlet_letter,3,33,3.6,11,2.9,3493
184,showgirls,2.9,41,3.4,10,2.3,7443
185,1062983-smoke,7.8,27,0,4,3.9,3101
186,something_to_talk_about,5.3,27,6.5,9,3,6137
187,species,4.9,31,5.1,5,2.7,6716
188,stars_fell_on_henrietta,4.9,7,0,1,3,66
189,strange_days,6,38,5.9,8,3.3,7016
190,umbrellas_of_cherbourg,8.6,45,7.9,10,4.1,3199
191,tie_that_binds,2.8,9,0,3,3,286
192,three_wishes,4.4,15,0,4,3,1249
193,total_eclipse,4.9,16,0,4,3.4,2222
194,to_wong_foo_thanks_for_everything_julie_newmar,5,23,5.2,5,3.1,6833
195,under_siege_2_dark_territory,4.5,29,0,3,2.6,5213
196,unstrung_heroes,6.3,21,0,4,3.2,530
197,unzipped,6.7,13,7.9,5,3.3,64
198,walk_in_the_clouds,5.5,22,0,3,3.3,12692
199,waterworld,5.1,48,6.4,9,2.6,18023
200,1067214-white_mans_burden,4.5,32,4.4,10,2.8,1275
201,,0,0,0,0,0,0
202,1043923-browning_version,7.8,17,0,3,4.3,270
203,bushwhacked,2.1,9,0,2,2.6,1388
204,burnt_by_the_sun,7,13,0,4,4.3,1533
205,before_the_rain,7.5,12,0,2,4.4,1683
206,before_sunrise,8.2,34,9.3,5,4.1,20616
207,billy_madison,4.8,35,0,4,3.5,91595
208,babysitters,4.4,26,4.6,12,2.9,1237
209,boys_on_the_side,6,32,6.1,8,3.1,4572
210,1061860-cure,5.5,10,0,4,3.7,2207
211,castle_freak,5.4,7,0,0,0,0
212,1059480-circle_of_friends,6.5,35,6.5,11,3.3,3292
213,clerks,7.4,48,7.1,9,3.8,57642
214,don-juan-demarco,5.8,22,0,2,3.3,14169
215,disclosure,5.7,40,5.8,9,2.8,3648
216,tucker_the_man_and_his_dream,7.2,35,6.8,7,3.2,1497
217,drop_zone,4.1,19,0,3,2.7,2485
218,destiny_turns_on_the_radio,2.7,15,0,2,2.6,446
219,death_and_the_maiden,7,48,6.2,10,3.6,1972
220,dolores_claiborne,6.8,33,0,4,3.4,4632
221,dumb_and_dumber,5.8,45,4.8,10,3.3,95871
222,eat_drink_man_woman,7.4,31,7.9,8,4,3802
223,exotica,8.3,27,0,3,3.7,1837
224,exit_to_eden,2.4,15,0,3,2.3,1694
225,ed_wood,7.9,57,7.2,12,3.7,28216
226,french_kiss,5.7,21,0,4,3.2,11010
227,forget_paris,5.4,33,4.7,8,3,2108
228,far_from_home_the_adventures_of_yellow_dog,5.2,6,0,0,0,0
229,goofy_movie,5.7,14,0,2,3.1,17024
230,1060518-hideaway,3.5,12,0,4,2.8,1077
231,fluke,4,9,0,3,3.4,1598
232,farinelli,5.7,21,4.7,6,3.8,1092
233,1007517-flash_gordon,6.3,32,0,3,3.1,6492
234,gumby_the_movie,0,4,0,0,0,0
235,glass_shield,5.6,21,5.2,7,3,263
236,hoop_dreams,8.5,44,8.1,12,4.1,3243
237,heavenly_creatures,8.3,41,7.8,9,3.7,8208
238,houseguest,3.4,20,5.2,5,2.8,1745
239,immortal_beloved,6,30,0,3,3.8,4786
240,1059860-heavyweights,4.1,5,0,0,0,0
241,1120843-hunted,4.7,143,4.5,34,3,5362
242,iq,5.1,21,0,3,2.8,3758
243,interview_with_the_vampire,5.8,45,4.6,10,3.7,77706
244,jefferson_in_paris,4.9,14,0,3,2.8,404
245,jerky_boys_the_the_movie,1.6,10,0,0,0,0
246,1058426-junior,4.7,30,5.8,8,2.4,9754
247,just_cause,4,26,4.2,8,3.1,2888
248,kid_in_king_arthurs_court,3.2,6,0,0,0,0
249,1060720-kiss_of_death,6.4,36,7.2,12,2.9,2125
250,star_wars,8.2,64,7.4,17,4.1,147448
251,1190049-little_women,0,0,0,0,0,0
252,1061812-little_princess,8.4,20,0,3,3.4,13643
253,ladybird_ladybird,7.2,6,0,2,4,368
254,1059177-lenfer,7.9,8,0,1,3.5,421
255,like_water_for_chocolate,7.6,28,0,3,3.9,5713
256,chris-smither-one-more-night2007,0,0,0,0,0,0
257,major_payne,4.6,10,0,2,2.9,8555
258,little_odessa,5.8,17,0,3,3.5,985
259,mi_vida_loca_my_crazy_life,6.6,15,0,3,3.9,2251
260,1056341-love_affair,4.8,26,0,3,3.5,1260
261,losing_isaiah,5.1,28,5,9,3.6,2364
262,madness_of_king_george,7.8,42,8.1,10,3.6,1886
263,1007818-frankenstein,8.5,38,7.8,5,3.6,7211
264,man_of_the_house,3.3,60,3.9,16,3.1,10877
265,mixed_nuts,2.8,28,2.5,6,2.9,2410
266,1055255-milk_money,2.6,25,2.5,8,2.7,2126
267,1013970-miracle_on_34th_street,8,31,0,2,3.5,5409
268,miami_rhapsody,6.1,18,0,3,2.6,766
269,my_family,7.2,11,0,3,3.9,1137
270,murder_in_the_first,5.5,34,4.8,10,3.5,3888
271,1015224-nobodys_fool,0,4,0,1,3,289
272,nell,5,31,0,3,3.1,5373
273,new_jersey_drive,6.5,7,0,3,3.8,814
274,new_york_cop,0,0,0,0,0,0
275,nightscare,0,1,0,0,0,0
276,nemesis_2,0,0,0,0,0,0
277,nina_takes_a_lover,5.2,6,0,2,3.4,125
278,natural_born_killers,6,29,5.9,7,3.5,39062
279,1055875-only_you,5.5,22,0,3,3.3,4388
280,once_were_warriors,7.7,31,7.4,8,0,0
281,poison_ivy_2_lily,3.8,6,0,0,0,0
282,outbreak,5.6,41,5.1,10,3.1,10732
283,professional,6.8,39,5.8,8,4.1,59011
284,perez_family,6.3,15,5.9,5,3.2,500
285,pyromaniacs_love_story,3.4,9,0,2,3.1,773
286,pulp_fiction,8.9,50,8.4,14,4.2,249269
287,pink_panther_2,3.5,128,3.9,25,3.1,77879
288,pushing_hands,0,2,0,0,0,0
289,1063814-1063814-priest,7.2,19,0,4,3.8,1042
290,quiz_show,8.1,50,8.2,12,3.5,5428
291,picture_bride,6.8,10,0,3,3.7,324
292,queen_margot,5.9,22,0,2,4,2511
293,1059629-quick_and_the_dead,5.9,39,4.2,8,3.1,12178
294,roommates,5.1,13,0,2,3.2,387
295,ready_to_wear,4.8,21,4.3,5,2.5,1885
296,1058966-red,8.5,40,8.2,10,4.2,9557
297,1049109-blue,8.4,32,8,5,4.2,11731
298,white,7.5,31,7.6,9,3.9,5105
299,red_firecracker_green_firecracker,0,4,0,1,4.6,71
300,rentakid,0,0,0,0,0,0
301,stuart_saves_his_family,4.6,25,5.2,10,2.6,531
302,swan_princess,5.3,9,0,3,3.1,5951
303,the-secret-of-roan-inish,7.8,40,7.5,12,3.9,1439
304,1056079-specialist,3.1,24,3.8,5,2.5,5147
305,stargate,5.2,37,0,4,3.3,23611
306,santa_claus_the_movie,4.1,17,0,1,3.1,2513
307,shawshank_redemption,8,57,7.9,11,4.4,168839
308,1058923-shallow_grave,6.4,42,5.4,10,3.6,9041
309,suture,6.2,11,0,3,3.6,236
310,strawberry_and_chocolate,6.6,19,0,2,3.9,848
311,swimming_with_sharks,6.3,33,5.4,10,3.6,2888
312,sum_of_us,6.5,13,0,2,3.6,1056
313,national_lampoons_senior_trip,2.6,7,0,1,3,1370
314,huozhe-to-live-lifetimes-living,8.1,14,0,3,4.3,1836
315,tank_girl,4.9,33,5.3,9,2.8,7013
316,tales_from_the_crypt_presents_demon_knight,4,23,3.4,7,3.2,4989
317,star_trek_generations,5.5,44,6.4,9,3.3,15342
318,tales_from_the_hood,4.3,15,0,2,3.1,2119
319,tom_and_viv,4.8,11,0,2,3.4,351
320,1061401-village_of_the_damned,4,30,4.2,5,2.7,4194
321,tommy_boy,5.2,38,3.6,6,3.6,34476
322,vanya_on_42nd_street,7.6,32,7.7,9,3.7,466
323,underneath,5.7,19,5.8,8,3,405
324,nightmare_city,0,4,0,0,0,0
325,whats_eating_gilbert_grape,7.3,42,5.8,9,3.7,57512
326,virtuosity,4.3,29,4,8,2.8,4167
327,while_you_were_sleeping,6.5,41,6.5,13,3.2,25923
328,the-secret-war,0,0,0,0,0,0
329,double_happiness,7,10,0,2,3.4,627
330,muriels_wedding,7.1,32,0,4,3.4,8356
331,babysitters_club_the_movie,6,15,6.1,7,2.9,1930
332,ace_ventura_pet_detective,4.6,37,0,2,3.1,163811
333,adventures_of_priscilla_queen_of_the_desert,7,29,7,6,3.7,8695
334,backbeat,6.2,34,6.5,9,3.3,926
335,bitter-moon,6.2,29,4.7,8,3.8,3436
336,bullets_over_broadway,7.9,54,8.2,12,3.6,3913
337,clear_and_present_danger,6.8,37,7.1,9,3.3,11095
338,client,6.1,35,6.2,7,3.3,7408
339,corrina_corrina,5.2,16,0,3,3.1,4265
340,crooklyn,6.6,24,6.8,7,4.1,3115
341,crow,7,40,6.9,8,3.8,64467
342,cobb,6.2,32,5.2,8,3.2,875
343,1051663-flintstones,3.7,40,4.5,7,2.5,11823
344,forrest_gump,6.9,53,7,13,4.1,205253
345,four_weddings_and_a_funeral,7.5,49,7.3,9,3.2,21524
346,higher_learning,5.3,34,4.6,11,3.5,4026
347,i_like_it_like_that,7.4,9,0,3,4,625
348,,0,0,0,0,0,0
349,1054344-it_could_happen_to_you,6.2,34,6.2,8,3,6180
350,1031385-jungle_book,7.3,27,0,2,3.5,35715
351,wonderful_horrible_life_of_leni_riefenstahl,7.6,22,0,4,3.7,257
352,lion_king,8,61,7.8,13,3.9,127550
353,little_buddha,5.8,22,6.4,7,3.1,2898
354,wes_cravens_new_nightmare,6.6,31,6.3,9,3.2,11902
355,1053779-mask,6.4,44,6.1,9,3.2,68419
356,maverick,6,37,7.4,6,3.2,11507
357,mrs_parker_and_the_vicious_circle,6.3,24,0,3,3.5,634
358,naked_gun_33_13_the_final_insult,5.6,32,7,7,2.9,10482
359,paper,6.7,31,6.9,7,3.1,1357
360,reality_bites,6,42,6.1,9,3.3,10533
361,red_rock_west,7.5,37,7.2,8,0,0
362,richie_rich,4.2,20,4.8,5,2.5,10242
363,safe_passage,5.8,12,0,3,3.4,310
364,river_wild,5.8,27,5.8,6,2.9,5610
365,1052692-1052692-speed,7.6,41,7.1,9,3.3,51008
366,speechless,3.9,25,3.8,6,2.8,683
367,timecop,5.3,38,5.1,9,2.6,6534
368,true_lies,6.4,45,5.4,9,3.2,27905
369,when_a_man_loves_a_woman,6.5,19,0,3,3.3,6791
370,1053942-wolf,5.9,48,5.9,8,2.8,6634
371,1052698-wyatt_earp,5.3,26,0,3,3.2,8070
372,1114548-bad_company,3.9,134,4,31,2.8,6415
373,man_of_no_importance,7,12,0,3,3.6,111
374,sfw,3.2,16,0,2,3,1184
375,low_down_dirty_shame,3.6,20,3.5,6,2.9,3460
376,this_boys_life,6.3,34,5,10,3.5,5072
377,1058427-colonel_chabert,7.1,6,0,1,3.6,142
378,faster_pussycat_kill_kill,6.9,25,0,3,3.8,3351
379,jasons_lyric,6,14,0,3,4,2470
380,secret_adventures_of_tom_thumb,6.3,5,0,0,0,0
381,1058516-street_fighter,2.9,24,0,4,2.2,10305
382,1010448-in_cold_blood,8.3,25,7.8,5,3.8,2614
383,desert_winds,4.3,9,4.5,6,4,36
384,fall_time,0,3,0,0,0,0
385,1037581-cape_fear,6.9,38,8.3,6,3.4,13943
386,frank-and-ollie,7.3,8,0,1,3.9,177
387,1013976-mirage,0,3,0,0,0,0
388,open_season,5.4,98,5.7,24,3.4,91895
389,brother_minister,0,1,0,1,4.2,76
390,highlander1994,0,0,0,0,0,0
391,federal_hill,6.4,15,6.2,9,3,131
392,in_the_mouth_of_madness,5,29,4.6,7,3.5,5731
393,8_seconds,5.2,12,0,2,3.6,7861
394,above_the_rim,5.4,18,5,6,3.5,4319
395,addams_family_values,6.3,35,5.5,7,3.1,21548
396,,0,0,0,0,0,0
397,airheads,4.2,31,4.6,8,2.9,13551
398,air_up_there,4,26,3,6,2.6,2385
399,another_stakeout,3.9,21,0,3,2.5,1861
400,1051219-bad_girls,3.5,21,0,4,2.8,5946
401,vicky_cristina_barcelona,6.9,188,7.2,35,3.6,45494
402,,0,0,0,0,0,0
403,1046435-beverly_hillbillies,3.6,28,4.2,8,2.5,4897
404,beverly_hills_cop_3,3.3,30,2.9,6,2.9,12777
405,1126533-black_friday,0,0,0,0,0,0
406,1052838-blown_away,4.8,18,0,3,2.9,3591
407,blue_chips,5.1,26,4.6,8,3,1545
408,blue-sky,6.3,18,0,3,3.2,809
409,1010678-invasion_of_the_body_snatchers,8.9,36,0,2,3.6,3820
410,boxing_helena,3.7,30,3.4,7,2.6,1775
411,bronx_tale,7.4,26,0,3,3.9,17840
412,cabin_boy,4.9,23,0,2,2.4,1694
413,calendar_girls,6.5,118,6.5,33,3.1,8453
414,carlitos_way,6.8,33,0,4,3.8,32475
415,city_slickers_ii_the_legend_of_curlys_gold,3.6,21,0,3,2.7,5885
416,1050560-clean_slate,4.1,16,0,2,2.5,630
417,1044214-cliffhanger,6.3,33,6.2,7,2.8,9768
418,coneheads,4.5,27,4.7,8,2.6,9202
419,color_of_night,3.9,26,0,3,2.7,3955
420,cops_and_robbersons,3.5,19,2.6,6,2.5,1201
421,cowboy_way,4.2,12,0,2,3,2782
422,dave,7.4,37,7.5,9,3.1,4985
423,dazed_and_confused,7.9,41,7.6,7,3.8,45956
424,demolition_man,5.6,32,4.2,8,3,16135
425,endless_summer_ii_the_the_journey_continues,5.8,14,5,5,4,802
426,even_cowgirls_get_the_blues,3.2,17,0,3,2.6,1583
427,1046049-fatal_instinct,4.2,20,3.6,8,2.6,808
428,farewell_to_my_concubine,7.4,33,7.2,10,4.1,4321
429,favor,4.9,10,0,3,2.8,891
430,fearless-a-chinese-hero,0,0,0,0,0,0
431,fear_of_a_black_hat,7,19,7.2,8,3.8,898
432,with_honors,4,21,0,3,3.3,3484
433,flesh_and_bone,6.1,23,0,3,3,851
434,widows_peak,7.1,15,0,3,3.2,348
435,,0,0,0,0,0,0
436,1044522-firm,6.2,50,5,9,3.2,11507
437,free_willy,5.5,21,0,3,2.9,19451
438,fresh,7.5,19,0,3,4,1823
439,1046129-fugitive,7.6,52,8,9,3.6,28862
440,geronimo_an_american_legend,6.2,17,0,3,3.2,1686
441,a_perfect_getaway,5.8,124,5.9,29,3.2,102622
442,getting_even_with_dad,3.3,12,0,3,2.4,2200
443,1062542-go_fish,6.6,13,7.4,5,3.2,898
444,good_man_in_africa,4.4,8,0,2,2.9,306
445,guilty_as_sin,5.2,13,0,3,2.8,474
446,hard_target,5.2,29,5.6,7,0,0
447,1048333-heaven_and_earth,5.2,17,5.8,5,3.6,1458
448,hot_shots_part_deux,5.6,28,5.8,6,3,9890
449,live_nude_girls,4.4,8,0,1,3.2,368
450,englishman_who_went_up_a_hill_but_came_down_a_mountain,5.8,22,7,5,3,3033
451,house_of_the_spirits,5.4,14,0,3,3.7,3169
452,house_party_3,2.7,6,0,0,0,0
453,hudsucker_proxy,6.2,38,4.1,9,3.6,10291
454,ill_do_anything,5.2,17,0,3,3,481
455,in_the_army_now,2.2,21,2.5,5,2.5,3672
456,in_the_line_of_fire,7.6,41,8.3,7,3.4,7831
457,in_the_name_of_the_father,7.6,39,7.4,9,4,10715
458,inkwell,5,7,0,2,3.8,507
459,whats_love_got_to_do_with_it,7.5,33,8.2,7,3.6,9612
460,jimmy_hollywood,4.1,20,0,3,2.5,544
461,judgment_night,4.2,15,3.2,5,3.1,2059
462,jurassic_park,7.2,38,7.1,10,3.6,91260
463,kalifornia,6.2,24,0,2,3.2,9852
464,killing_zoe,5.1,25,0,2,3.4,3407
465,1046045-king_of_the_hill,7.9,25,7.8,7,3.6,963
466,1053155-lassie,6.8,8,0,2,2.9,2576
467,last_action_hero,4.9,37,4.6,5,2.6,11445
468,life_with_mikey,3.9,9,0,2,2.8,1377
469,lightning_jack,3.4,16,3.9,6,2.8,2199
470,the-thistle-and-the-lotus,0,0,0,0,0,0
471,1043960-made_in_america,3.9,28,0,3,2.5,4179
472,malice,5.8,18,0,3,3,2429
473,man_without_a_face,5.7,20,0,3,3.1,5277
474,manhattan_murder_mystery,6.9,21,0,3,3.7,4405
475,menace_ii_society,7.4,34,8,8,3.8,14420
476,executive_decision,6,37,6.3,10,2.9,5176
477,in_the_realm_of_the_senses,7.5,28,0,1,3.5,1565
478,what_happened_was,7,20,0,4,4.1,120
479,1045992-much_ado_about_nothing,7.1,41,6.8,8,3.6,9764
480,mr_jones,5.2,13,0,2,3,1067
481,mr_wonderful,5.9,18,6.1,5,3.1,870
482,mrs_doubtfire,5.7,42,0,2,3.4,61130
483,1048185-naked,8,21,0,2,4.3,3386
484,next_karate_kid,3.6,17,0,4,0,0
485,new_age,6,11,0,3,3.1,82
486,no_escape,5.1,15,0,3,3,2147
487,north,3,18,0,3,2.6,2932
488,orlando,6.2,26,0,2,3.9,2705
489,perfect_world,7.2,27,7.4,5,3.5,7814
490,philadelphia,6.5,43,6.7,5,3.7,20896
491,piano,8,45,9.3,7,3.7,12303
492,poetic_justice,4.6,14,0,3,3.4,5709
493,program,5,14,0,3,3.6,2842
494,puppet_masters,4.9,22,4,5,2.8,1068
495,radioland_murders,4,15,0,2,3.1,601
496,ref,6.6,41,5.6,8,3.3,3390
497,remains_of_the_day,8.4,38,8.3,8,3.8,6319
498,renaissance_man,4.4,18,0,3,2.9,2575
499,rising_sun,5.1,35,5.2,11,2.9,4796
500,road_to_wellville,4.9,16,0,2,2.8,1442
501,robocop_3,3.1,28,3,6,2.3,6600
502,robin_hood_men_in_tights,5.1,22,0,1,3.5,45946
503,romeo_is_bleeding,4.5,34,3.6,9,3.3,1704
504,romper_stomper,6.2,24,0,4,3.5,11581
